parent_gallery_name,parent_gallery_item_id,photo_set_name,photo_set_slug,photo_count,photo_names,photo_item_ids,source_values,grouping_source,grouping_confidence,is_singleton,warnings
Holy Men and Women of God,6a679b41cb07e5125504e546,San Isidro Labrador,san-isidro-labrador,2,SAN ISIDRO LABRADOR,6a679bc50dc0a2b1638ad324 | 6a679c7235ea77969d63c068,god-san-isidro-labrador | od-san-isidro-labrador-2,CMS Name,high,false,truncated source filename | potential near-duplicate set name within the same Gallery
Holy Men and Women of God,6a679b41cb07e5125504e546,San Isidro Labrador Statue,san-isidro-labrador-statue,1,SAN ISIDRO LABRADOR STATUE,6a679c964b2acdc529a03643,n-isidro-labrador-statue,CMS Name,high,true,singleton set | truncated source filename | potential near-duplicate set name within the same Gallery
Holy Men and Women of God,6a679b41cb07e5125504e546,San Juan (Baptism Scene),san-juan-baptism-scene,1,SAN JUAN (BAPTISM SCENE),6a679ca9982910d5c3175499,d-san-juan-baptism-scene,CMS Name,high,true,singleton set | truncated source filename
Holy Men and Women of God,6a679b41cb07e5125504e546,San Juan Bautista,san-juan-bautista,1,SAN JUAN BAUTISTA,6a679ca5e4223da842e9a1cf,of-god-san-juan-bautista,CMS Name,high,true,singleton set | truncated source filename
Holy Men and Women of God,6a679b41cb07e5125504e546,San Juan Nepomuceno,san-juan-nepomuceno,2,SAN JUAN NEPOMUCENO,6a679c6f1e982a57a4715ef6 | 6a679cbd165b308540780d63,god-san-juan-nepomuceno | od-san-juan-nepomuceno-2,CMS Name,high,false,truncated source filename | potential near-duplicate set name within the same Gallery
Holy Men and Women of God,6a679b41cb07e5125504e546,San Juan Nepomuceno (Filer),san-juan-nepomuceno-filer,1,SAN JUAN NEPOMUCENO (FILER),6a679c6b6bb5de7ea718181d,an-juan-nepomuceno-filer,CMS Name,high,true,singleton set | truncated source filename | potential near-duplicate set name within the same Gallery
Holy Men and Women of God,6a679b41cb07e5125504e546,San Lorenzo Ruiz,san-lorenzo-ruiz,2,SAN LORENZO RUIZ,6a679bd98acb3b3a1417dfcf | 6a679c1defbaeffca00f7a3c,f-god-san-lorenzo-ruiz-2 | of-god-san-lorenzo-ruiz,CMS Name,high,false,truncated source filename | potential near-duplicate set name within the same Gallery
Holy Men and Women of God,6a679b41cb07e5125504e546,San Lorenzo Ruiz De Manila,san-lorenzo-ruiz-de-manila,1,SAN LORENZO RUIZ DE MANILA,6a679bbb8024671618110b53,n-lorenzo-ruiz-de-manila,CMS Name,high,true,singleton set | truncated source filename | potential near-duplicate set name within the same Gallery
Holy Men and Women of God,6a679b41cb07e5125504e546,San Martin De Porres,san-martin-de-porres,2,SAN MARTIN DE PORRES,6a679bbf1b2e0e87bdd35f06 | 6a679c0828de0e6fd8c19351,d-san-martin-de-porres-2 | god-san-martin-de-porres,CMS Name,high,false,truncated source filename
Holy Men and Women of God,6a679b41cb07e5125504e546,San Nicolas De Tolentino,san-nicolas-de-tolentino,1,SAN NICOLAS DE TOLENTINO,6a679bed35ea77969d639ded,san-nicolas-de-tolentino,CMS Name,high,true,singleton set | truncated source filename
Holy Men and Women of God,6a679b41cb07e5125504e546,San Nicolas Image (Statue),san-nicolas-image-statue,1,SAN NICOLAS IMAGE (STATUE),6a679bd56a0d5f994c3887f4,san-nicolas-image-statue,CMS Name,high,true,singleton set | truncated source filename
Holy Men and Women of God,6a679b41cb07e5125504e546,San Nikolas,san-nikolas,1,SAN NIKOLAS,6a679be680246716181120ae,women-of-god-san-nikolas,CMS Name,high,true,singleton set | truncated source filename
Holy Men and Women of God,6a679b41cb07e5125504e546,San Pedro,san-pedro,1,SAN PEDRO,6a679cb388153d547cf74028,d-women-of-god-san-pedro,CMS Name,high,true,singleton set | truncated source filename
Holy Men and Women of God,6a679b41cb07e5125504e546,San Roque,san-roque,6,SAN ROQUE,6a679bdce4223da842e93b54 | 6a679c008024671618112da2 | 6a679c03fd200fc82a6fb83a | 6a679c293b7bf7fb5d49f483 | 6a679c4b8024671618115361 | 6a679cce3be05a134f63cd46,d-women-of-god-san-roque | women-of-god-san-roque-2 | women-of-god-san-roque-3 | women-of-god-san-roque-4 | women-of-god-san-roque-5 | women-of-god-san-roque-6,CMS Name,high,false,truncated source filename
Holy Men and Women of God,6a679b41cb07e5125504e546,San Vicente Ferrer,san-vicente-ferrer,8,SAN VICENTE FERRER,6a679bae35ea77969d638b8a | 6a679bf58024671618112905 | 6a679c211e982a57a4714dc6 | 6a679c89958e708dc18622ae | 6a679c8c4b2acdc529a0336e | 6a679c8f958e708dc18624ae | 6a679c932d6d999f309bfae1 | 6a679cd30dc0a2b1638b60d1,f-god-san-vicente-ferrer | god-san-vicente-ferrer-2 | god-san-vicente-ferrer-3 | god-san-vicente-ferrer-4 | god-san-vicente-ferrer-5 | god-san-vicente-ferrer-6 | god-san-vicente-ferrer-7 | god-san-vicente-ferrer-8,CMS Name,high,false,truncated source filename | potential near-duplicate set name within the same Gallery
Holy Men and Women of God,6a679b41cb07e5125504e546,San Vicente Ferrer (Hagtasan),san-vicente-ferrer-hagtasan,1,SAN VICENTE FERRER (Hagtasan),6a679c2f7887d4eb8fb40056,vicente-ferrer-hagtasan,CMS Name,high,true,singleton set | truncated source filename | potential near-duplicate set name within the same Gallery
Holy Men and Women of God,6a679b41cb07e5125504e546,San Vicente Ferrer (Small),san-vicente-ferrer-small,1,SAN VICENTE FERRER (SMALL),6a679cd93b7bf7fb5d4a3fac,san-vicente-ferrer-small,CMS Name,high,true,singleton set | truncated source filename | potential near-duplicate set name within the same Gallery
Holy Men and Women of God,6a679b41cb07e5125504e546,Santa Anna,santa-anna,1,SANTA ANNA,6a679bd10dc0a2b1638ad999,women-of-god-santa-anna,CMS Name,high,true,singleton set | truncated source filename
Holy Men and Women of God,6a679b41cb07e5125504e546,Santa Monica,santa-monica,2,SANTA MONICA,6a679c13eeade61073c24cc6 | 6a679c3d0c02f7b16f38b48f,en-of-god-santa-monica-2 | omen-of-god-santa-monica,CMS Name,high,false,truncated source filename
Holy Men and Women of God,6a679b41cb07e5125504e546,Santa Teresa De Avila,santa-teresa-de-avila,1,SANTA TERESA DE AVILA,6a679be38024671618111eb4,od-santa-teresa-de-avila,CMS Name,high,true,singleton set | truncated source filename | potential near-duplicate set name within the same Gallery
Holy Men and Women of God,6a679b41cb07e5125504e546,Santa Teresa De Avila (Altar),santa-teresa-de-avila-altar,1,SANTA TERESA DE AVILA (ALTAR),6a679bdf60c1167bb6bd62af,ta-teresa-de-avila-altar,CMS Name,high,true,singleton set | truncated source filename | potential near-duplicate set name within the same Gallery
Holy Men and Women of God,6a679b41cb07e5125504e546,Santa Veronica,santa-veronica,1,SANTA VERONICA,6a679cb908b9a44c5a9b6e8c,en-of-god-santa-veronica,CMS Name,high,true,singleton set | truncated source filename
Holy Men and Women of God,6a679b41cb07e5125504e546,Santiago De Compostella,santiago-de-compostella,1,SANTIAGO DE COMPOSTELLA,6a679c47fd200fc82a6fcdb5,santiago-de-compostella,CMS Name,high,true,singleton set | truncated source filename
Holy Men and Women of God,6a679b41cb07e5125504e546,Santo Tomas De Villanueva,santo-tomas-de-villanueva,2,SANTO TOMAS DE VILLANUEVA,6a679c5d88153d547cf71438 | 6a679cafcb07e51255057eb5,anto-tomas-de-villanueva | to-tomas-de-villanueva-2,CMS Name,high,false,truncated source filename
Holy Men and Women of God,6a679b41cb07e5125504e546,St. Martin De Porres,st-martin-de-porres,1,ST. MARTIN DE PORRES,6a679c256bb5de7ea717e753,god-st-martin-de-porres,CMS Name,high,true,singleton set | truncated source filename
Holy Men and Women of God,6a679b41cb07e5125504e546,Sta. Rosa Altar Riere (Large),sta-rosa-altar-riere-large,1,STA. ROSA ALTAR RIERE (LARGE),6a679c564b2acdc529a01f11,a-rosa-altar-riere-large,CMS Name,high,true,singleton set | truncated source filename
Home Devotions,6a679b396bb5de7ea7171a97,Altar Set,altar-set,1,ALTAR SET,6a679d34efbaeffca01023aa,home-devotions-altar-set,CMS Name,high,true,singleton set | truncated source filename
Home Devotions,6a679b396bb5de7ea7171a97,Combate Espiritual,combate-espiritual,1,COMBATE ESPIRITUAL,6a679d68efbaeffca0103d9a,tions-combate-espiritual,CMS Name,high,true,singleton set | truncated source filename
Home Devotions,6a679b396bb5de7ea7171a97,Crucifix Inside Reliquary,crucifix-inside-reliquary,1,CRUCIFIX INSIDE RELIQUARY,6a679d618acb3b3a141881dc,rucifix-inside-reliquary,CMS Name,high,true,singleton set | truncated source filename
Home Devotions,6a679b396bb5de7ea7171a97,Framed Lagang,framed-lagang,3,FRAMED LAGANG,6a679d5539a6297b82e042ef | 6a679d5aebb5c526c04d0907 | 6a679d5e08b9a44c5a9ba59a,devotions-framed-lagang | evotions-framed-lagang-2 | evotions-framed-lagang-3,CMS Name,high,false,truncated source filename
Home Devotions,6a679b396bb5de7ea7171a97,Image Used for Block Rosary,image-used-for-block-rosary,3,IMAGE USED FOR BLOCK ROSARY,6a679d42bded1ae16ef79811 | 6a679d47d0581e7876fc3254 | 6a679d4be4223da842ea0ffb,ge-used-for-block-rosary | used-for-block-rosary-2 | used-for-block-rosary-3,CMS Name,high,false,truncated source filename
Home Devotions,6a679b396bb5de7ea7171a97,Our Lady of Fatima,our-lady-of-fatima,1,OUR LADY OF FATIMA,6a679d384b2acdc529a0abbf,tions-our-lady-of-fatima,CMS Name,high,true,singleton set | truncated source filename
Home Devotions,6a679b396bb5de7ea7171a97,"Prayer Book; El Perfecto Christiano, Paralevantor El Spirito Adios",prayer-book-el-perfecto-christiano-paralevantor-el-spirito-adios,1,"PRAYER BOOK; EL PERFECTO CHRISTIANO, PARALEVANTOR EL SPIRITO ADIOS",6a679d6535ea77969d642648,evantor-el-spirito-adios,CMS Name,high,true,singleton set | truncated source filename
Home Devotions,6a679b396bb5de7ea7171a97,Sacred Heart,sacred-heart,1,SACRED HEART,6a679d3ebded1ae16ef79504,e-devotions-sacred-heart,CMS Name,high,true,singleton set | truncated source filename
Home Devotions,6a679b396bb5de7ea7171a97,Virgin Statue,virgin-statue,1,VIRGIN STATUE,6a679d502ab6542afae70d07,devotions-virgin-statue,CMS Name,high,true,singleton set | truncated source filename
Images of Christ,6a66d179891d895436262309,Blessed Virgin,images-of-christ-blessed-virgin,1,Blessed Virgin,6a679d7a6a0d5f994c38e38f,christ-blessed-virgin-5,CMS Name,high,true,singleton set | truncated source filename
Images of Christ,6a66d179891d895436262309,Christ From La Pieta,christ-from-la-pieta,1,CHRIST FROM LA PIETA,6a679dbb06a410138714f828,ist-christ-from-la-pieta,CMS Name,high,true,singleton set | truncated source filename
